ECG,61840,-40666,
PPG,61843,104929,108223
ECG,61847,-37401,
PPG,61853,104954,108225
ECG,61855,-39442,
PPG,61863,104955,108260
ECG,61864,-36142,
GSR,61869,474,
ECG,61871,-37374,
PPG,61875,104957,108275
ECG,61879,-34073,
PPG,61884,104938,108277
ECG,61887,-35101,
PPG,61893,104941,108235
ECG,61895,-32378,
PPG,61903,104909,108164
ECG,61904,-33757,
ECG,61912,-30567,
PPG,61915,104862,108053
ECG,61919,-30889,
PPG,61923,104802,107944
GSR,61926,474,
ECG,61928,-29361,
PPG,61934,104761,107820
ECG,61935,-29688,
PPG,61944,104722,107696
ECG,61944,-29069,
ECG,61952,-30443,
PPG,61955,104673,107591
ECG,61960,-32306,
PPG,61964,104639,107520
ECG,61968,-34107,
PPG,61974,104609,107438
ECG,61975,-37464,
GSR,61977,474,
PPG,61983,104576,107398
ECG,61984,-38351,
ECG,61991,-41644,
PPG,61995,104562,107383
ECG,61999,-41292,
PPG,62004,104600,107380
ECG,62007,-44366,
PPG,62014,104584,107375
ECG,62015,-43396,
PPG,62024,104579,107398
ECG,62025,-45577,
ECG,62031,-42836,
PPG,62034,104592,107415
GSR,62035,475,
ECG,62040,-45242,
PPG,62044,104603,107443
ECG,62048,-42815,
PPG,62054,104615,107464
ECG,62055,-45754,
PPG,62063,104628,107475
ECG,62064,-43410,
ECG,62070,-45138,
PPG,62074,104640,107502
ECG,62078,-42529,
PPG,62085,104649,107541
ECG,62087,-44936,
GSR,62092,475,
PPG,62094,104641,107560
ECG,62095,-42748,
PPG,62104,104638,107570
ECG,62105,-44319,
ECG,62111,-43936,
PPG,62114,104640,107577
ECG,62119,-45176,
PPG,62124,104642,107593
ECG,62127,-43873,
PPG,62134,104655,107620
ECG,62135,-43861,
PPG,62144,104686,107643
ECG,62145,-43947,
GSR,62147,475,
ECG,62150,-44879,
PPG,62154,104702,107665
ECG,62158,-44906,
PPG,62164,104700,107693
ECG,62167,-43801,
PPG,62174,104711,107718
ECG,62175,-43977,
PPG,62184,104699,107744
ECG,62185,-42836,
ECG,62190,-45349,
PPG,62194,104715,107756
ECG,62198,-43970,
PPG,62203,104721,107758
GSR,62206,475,
ECG,62208,-45755,
PPG,62215,104736,107758
ECG,62216,-43568,
ECG,62223,-46117,
PPG,62226,104733,107753
ECG,62231,-43736,
PPG,62234,104692,107731
ECG,62239,-46569,
PPG,62244,104699,107713
ECG,62246,-43595,
PPG,62255,104700,107722
ECG,62256,-45646,
GSR,62261,476,
ECG,62263,-43339,
PPG,62266,104685,107706
ECG,62270,-46033,
PPG,62275,104670,107696
ECG,62278,-43579,
PPG,62284,104694,107683
ECG,62286,-45596,
PPG,62295,104664,107675
ECG,62296,-44236,
ECG,62303,-45693,
PPG,62306,104679,107682
ECG,62311,-44712,
PPG,62314,104682,107687
ECG,62318,-45748,
GSR,62320,476,
PPG,62325,104688,107697
ECG,62327,-44405,
PPG,62334,104705,107720
ECG,62336,-45279,
ECG,62342,-45205,
PPG,62346,104688,107743
ECG,62350,-44625,
PPG,62355,104698,107750
ECG,62358,-45572,
PPG,62364,104712,107788
ECG,62366,-44312,
PPG,62374,104712,107792
GSR,62375,476,
ECG,62376,-45127,
ECG,62383,-44082,
PPG,62386,104722,107814
ECG,62391,-46189,
PPG,62395,104737,107839
ECG,62399,-43717,
PPG,62405,104744,107848
